 x1    x2      y
 0.00  0.00  0.76603
 0.00  0.05  0.88254
 0.00  0.10  0.96585
 0.00  0.15  0.99914
 0.00  0.20  0.97817
 0.00  0.25  0.91055
 0.00  0.30  0.81256
 0.00  0.35  0.70475
 0.00  0.40  0.60730
 0.00  0.45  0.53645
 0.00  0.50  0.50211
 0.00  0.55  0.50716
 0.00  0.60  0.54803
 0.00  0.65  0.61627
 0.00  0.70  0.70056
 0.00  0.75  0.78883
 0.00  0.80  0.87000
 0.00  0.85  0.93531
 0.00  0.90  0.97897
 0.00  0.95  0.99838
 0.05  0.00  0.72821
 0.05  0.05  0.84472
 0.05  0.10  0.92803
 0.05  0.15  0.96133
 0.05  0.20  0.94035
 0.05  0.25  0.87273
 0.05  0.30  0.77475
 0.05  0.35  0.66693
 0.05  0.40  0.56949
 0.05  0.45  0.49863
 0.05  0.50  0.46429
 0.05  0.55  0.46934
 0.05  0.60  0.51021
 0.05  0.65  0.57845
 0.05  0.70  0.66275
 0.05  0.75  0.75101
 0.05  0.80  0.83219
 0.05  0.85  0.89749
 0.05  0.90  0.94115
 0.05  0.95  0.96056
 0.10  0.00  0.64176
 0.10  0.05  0.75827
 0.10  0.10  0.84158
 0.10  0.15  0.87487
 0.10  0.20  0.85390
 0.10  0.25  0.78628
 0.10  0.30  0.68829
 0.10  0.35  0.58048
 0.10  0.40  0.48303
 0.10  0.45  0.41218
 0.10  0.50  0.37784
 0.10  0.55  0.38289
 0.10  0.60  0.42376
 0.10  0.65  0.49200
 0.10  0.70  0.57629
 0.10  0.75  0.66456
 0.10  0.80  0.74573
 0.10  0.85  0.81104
 0.10  0.90  0.85470
 0.10  0.95  0.87411
 0.15  0.00  0.52893
 0.15  0.05  0.64544
 0.15  0.10  0.72875
 0.15  0.15  0.76205
 0.15  0.20  0.74107
 0.15  0.25  0.67345
 0.15  0.30  0.57547
 0.15  0.35  0.46765
 0.15  0.40  0.37021
 0.15  0.45  0.29935
 0.15  0.50  0.26501
 0.15  0.55  0.27006
 0.15  0.60  0.31093
 0.15  0.65  0.37917
 0.15  0.70  0.46346
 0.15  0.75  0.55173
 0.15  0.80  0.63291
 0.15  0.85  0.69821
 0.15  0.90  0.74187
 0.15  0.95  0.76128
 0.20  0.00  0.41565
 0.20  0.05  0.53216
 0.20  0.10  0.61547
 0.20  0.15  0.64877
 0.20  0.20  0.62779
 0.20  0.25  0.56017
 0.20  0.30  0.46219
 0.20  0.35  0.35437
 0.20  0.40  0.25693
 0.20  0.45  0.18607
 0.20  0.50  0.15173
 0.20  0.55  0.15678
 0.20  0.60  0.19765
 0.20  0.65  0.26589
 0.20  0.70  0.35018
 0.20  0.75  0.43845
 0.20  0.80  0.51963
 0.20  0.85  0.58493
 0.20  0.90  0.62859
 0.20  0.95  0.64800
 0.25  0.00  0.32541
 0.25  0.05  0.44191
 0.25  0.10  0.52523
 0.25  0.15  0.55852
 0.25  0.20  0.53755
 0.25  0.25  0.46992
 0.25  0.30  0.37194
 0.25  0.35  0.26412
 0.25  0.40  0.16668
 0.25  0.45  0.09583
 0.25  0.50  0.06149
 0.25  0.55  0.06653
 0.25  0.60  0.10741
 0.25  0.65  0.17564
 0.25  0.70  0.25994
 0.25  0.75  0.34821
 0.25  0.80  0.42938
 0.25  0.85  0.49468
 0.25  0.90  0.53834
 0.25  0.95  0.55775
 0.30  0.00  0.27468
 0.30  0.05  0.39118
 0.30  0.10  0.47450
 0.30  0.15  0.50779
 0.30  0.20  0.48682
 0.30  0.25  0.41920
 0.30  0.30  0.32121
 0.30  0.35  0.21340
 0.30  0.40  0.11595
 0.30  0.45  0.04510
 0.30  0.50  0.01076
 0.30  0.55  0.01581
 0.30  0.60  0.05668
 0.30  0.65  0.12492
 0.30  0.70  0.20921
 0.30  0.75  0.29748
 0.30  0.80  0.37865
 0.30  0.85  0.44396
 0.30  0.90  0.48762
 0.30  0.95  0.50703
 0.35  0.00  0.27061
 0.35  0.05  0.38712
 0.35  0.10  0.47043
 0.35  0.15  0.50372
 0.35  0.20  0.48275
 0.35  0.25  0.41513
 0.35  0.30  0.31714
 0.35  0.35  0.20933
 0.35  0.40  0.11188
 0.35  0.45  0.04103
 0.35  0.50  0.00669
 0.35  0.55  0.01174
 0.35  0.60  0.05261
 0.35  0.65  0.12085
 0.35  0.70  0.20514
 0.35  0.75  0.29341
 0.35  0.80  0.37458
 0.35  0.85  0.43989
 0.35  0.90  0.48355
 0.35  0.95  0.50296
 0.40  0.00  0.31092
 0.40  0.05  0.42743
 0.40  0.10  0.51075
 0.40  0.15  0.54404
 0.40  0.20  0.52306
 0.40  0.25  0.45544
 0.40  0.30  0.35746
 0.40  0.35  0.24964
 0.40  0.40  0.15220
 0.40  0.45  0.08135
 0.40  0.50  0.04700
 0.40  0.55  0.05205
 0.40  0.60  0.09292
 0.40  0.65  0.16116
 0.40  0.70  0.24546
 0.40  0.75  0.33372
 0.40  0.80  0.41490
 0.40  0.85  0.48020
 0.40  0.90  0.52386
 0.40  0.95  0.54327
 0.45  0.00  0.38569
 0.45  0.05  0.50220
 0.45  0.10  0.58551
 0.45  0.15  0.61881
 0.45  0.20  0.59783
 0.45  0.25  0.53021
 0.45  0.30  0.43223
 0.45  0.35  0.32441
 0.45  0.40  0.22697
 0.45  0.45  0.15611
 0.45  0.50  0.12177
 0.45  0.55  0.12682
 0.45  0.60  0.16769
 0.45  0.65  0.23593
 0.45  0.70  0.32022
 0.45  0.75  0.40849
 0.45  0.80  0.48967
 0.45  0.85  0.55497
 0.45  0.90  0.59863
 0.45  0.95  0.61804
 0.50  0.00  0.48021
 0.50  0.05  0.59671
 0.50  0.10  0.68003
 0.50  0.15  0.71332
 0.50  0.20  0.69235
 0.50  0.25  0.62472
 0.50  0.30  0.52674
 0.50  0.35  0.41892
 0.50  0.40  0.32148
 0.50  0.45  0.25063
 0.50  0.50  0.21629
 0.50  0.55  0.22133
 0.50  0.60  0.26221
 0.50  0.65  0.33044
 0.50  0.70  0.41474
 0.50  0.75  0.50301
 0.50  0.80  0.58418
 0.50  0.85  0.64948
 0.50  0.90  0.69314
 0.50  0.95  0.71255
 0.55  0.00  0.57818
 0.55  0.05  0.69469
 0.55  0.10  0.77801
 0.55  0.15  0.81130
 0.55  0.20  0.79033
 0.55  0.25  0.72270
 0.55  0.30  0.62472
 0.55  0.35  0.51690
 0.55  0.40  0.41946
 0.55  0.45  0.34861
 0.55  0.50  0.31426
 0.55  0.55  0.31931
 0.55  0.60  0.36019
 0.55  0.65  0.42842
 0.55  0.70  0.51272
 0.55  0.75  0.60099
 0.55  0.80  0.68216
 0.55  0.85  0.74746
 0.55  0.90  0.79112
 0.55  0.95  0.81053
 0.60  0.00  0.66467
 0.60  0.05  0.78118
 0.60  0.10  0.86449
 0.60  0.15  0.89778
 0.60  0.20  0.87681
 0.60  0.25  0.80919
 0.60  0.30  0.71120
 0.60  0.35  0.60339
 0.60  0.40  0.50594
 0.60  0.45  0.43509
 0.60  0.50  0.40075
 0.60  0.55  0.40580
 0.60  0.60  0.44667
 0.60  0.65  0.51491
 0.60  0.70  0.59920
 0.60  0.75  0.68747
 0.60  0.80  0.76864
 0.60  0.85  0.83395
 0.60  0.90  0.87761
 0.60  0.95  0.89702
 0.65  0.00  0.72815
 0.65  0.05  0.84466
 0.65  0.10  0.92798
 0.65  0.15  0.96127
 0.65  0.20  0.94029
 0.65  0.25  0.87267
 0.65  0.30  0.77469
 0.65  0.35  0.66687
 0.65  0.40  0.56943
 0.65  0.45  0.49857
 0.65  0.50  0.46423
 0.65  0.55  0.46928
 0.65  0.60  0.51015
 0.65  0.65  0.57839
 0.65  0.70  0.66269
 0.65  0.75  0.75095
 0.65  0.80  0.83213
 0.65  0.85  0.89743
 0.65  0.90  0.94109
 0.65  0.95  0.96050
 0.70  0.00  0.76175
 0.70  0.05  0.87826
 0.70  0.10  0.96158
 0.70  0.15  0.99487
 0.70  0.20  0.97389
 0.70  0.25  0.90627
 0.70  0.30  0.80829
 0.70  0.35  0.70047
 0.70  0.40  0.60303
 0.70  0.45  0.53218
 0.70  0.50  0.49783
 0.70  0.55  0.50288
 0.70  0.60  0.54375
 0.70  0.65  0.61199
 0.70  0.70  0.69629
 0.70  0.75  0.78456
 0.70  0.80  0.86573
 0.70  0.85  0.93103
 0.70  0.90  0.97469
 0.70  0.95  0.99410
 0.75  0.00  0.76346
 0.75  0.05  0.87997
 0.75  0.10  0.96328
 0.75  0.15  0.99657
 0.75  0.20  0.97560
 0.75  0.25  0.90798
 0.75  0.30  0.80999
 0.75  0.35  0.70218
 0.75  0.40  0.60473
 0.75  0.45  0.53388
 0.75  0.50  0.49954
 0.75  0.55  0.50459
 0.75  0.60  0.54546
 0.75  0.65  0.61370
 0.75  0.70  0.69799
 0.75  0.75  0.78626
 0.75  0.80  0.86743
 0.75  0.85  0.93274
 0.75  0.90  0.97640
 0.75  0.95  0.99581
 0.80  0.00  0.73559
 0.80  0.05  0.85210
 0.80  0.10  0.93542
 0.80  0.15  0.96871
 0.80  0.20  0.94773
 0.80  0.25  0.88011
 0.80  0.30  0.78213
 0.80  0.35  0.67431
 0.80  0.40  0.57687
 0.80  0.45  0.50601
 0.80  0.50  0.47167
 0.80  0.55  0.47672
 0.80  0.60  0.51759
 0.80  0.65  0.58583
 0.80  0.70  0.67013
 0.80  0.75  0.75839
 0.80  0.80  0.83957
 0.80  0.85  0.90487
 0.80  0.90  0.94853
 0.80  0.95  0.96794
 0.85  0.00  0.68378
 0.85  0.05  0.80029
 0.85  0.10  0.88361
 0.85  0.15  0.91690
 0.85  0.20  0.89592
 0.85  0.25  0.82830
 0.85  0.30  0.73032
 0.85  0.35  0.62250
 0.85  0.40  0.52506
 0.85  0.45  0.45421
 0.85  0.50  0.41986
 0.85  0.55  0.42491
 0.85  0.60  0.46578
 0.85  0.65  0.53402
 0.85  0.70  0.61832
 0.85  0.75  0.70658
 0.85  0.80  0.78776
 0.85  0.85  0.85306
 0.85  0.90  0.89672
 0.85  0.95  0.91613
 0.90  0.00  0.61568
 0.90  0.05  0.73219
 0.90  0.10  0.81551
 0.90  0.15  0.84880
 0.90  0.20  0.82783
 0.90  0.25  0.76020
 0.90  0.30  0.66222
 0.90  0.35  0.55440
 0.90  0.40  0.45696
 0.90  0.45  0.38611
 0.90  0.50  0.35176
 0.90  0.55  0.35681
 0.90  0.60  0.39769
 0.90  0.65  0.46592
 0.90  0.70  0.55022
 0.90  0.75  0.63849
 0.90  0.80  0.71966
 0.90  0.85  0.78496
 0.90  0.90  0.82862
 0.90  0.95  0.84803
 0.95  0.00  0.53970
 0.95  0.05  0.65621
 0.95  0.10  0.73952
 0.95  0.15  0.77281
 0.95  0.20  0.75184
 0.95  0.25  0.68422
 0.95  0.30  0.58623
 0.95  0.35  0.47842
 0.95  0.40  0.38097
 0.95  0.45  0.31012
 0.95  0.50  0.27578
 0.95  0.55  0.28083
 0.95  0.60  0.32170
 0.95  0.65  0.38994
 0.95  0.70  0.47423
 0.95  0.75  0.56250
 0.95  0.80  0.64367
 0.95  0.85  0.70898
 0.95  0.90  0.75264
 0.95  0.95  0.77205
